Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
288;Wendell Moore Jr.;SG;21;MIN;1;0;2;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
289;Ja Morant;PG;23;MEM;11;11;32.8;10;20.6;0.485;2.1;4.6;0.451;7.9;16;0.494;0.535;6.7;8.4;0.804;0.9;4.7;5.6;6.9;0.9;0.4;4;1.7;28.8
290;Marcus Morris;PF;33;LAC;10;10;31.7;6;12.3;0.488;2.2;5.8;0.379;3.8;6.5;0.585;0.577;0.7;0.7;1;0.4;5.6;6;2.2;1;0.4;1.1;2.6;14.9
291;Markieff Morris;PF;33;BRK;7;0;8.1;0.7;2.3;0.313;0.7;1.7;0.417;0;0.6;0;0.469;0;0;0;0.1;1.6;1.7;0.6;0.3;0.1;0.9;1.1;2.1
292;Monte Morris;PG;27;WAS;11;11;28.2;3.5;8;0.432;1;2.8;0.355;2.5;5.2;0.474;0.494;1.3;1.7;0.737;0.5;3.2;3.6;4.8;0.7;0.3;0.9;1.1;9.2
293;Trey Murphy III;SF;22;NOP;11;4;29.4;3.9;8.1;0.483;2.3;5.3;0.431;1.6;2.8;0.581;0.624;1.5;1.5;0.941;1.5;3.5;4.9;1.5;1.1;0.2;0.8;2.1;11.5
294;Dejounte Murray;SG;26;ATL;11;11;36.6;9.2;19.7;0.465;2.2;6.3;0.348;7;13.5;0.52;0.521;2.1;2.5;0.852;0.8;5.6;6.5;8.1;2.3;0.5;2.6;1.9;22.6
295;Jamal Murray;PG;25;DEN;10;10;27.7;6.3;14.3;0.441;1.6;4.4;0.364;4.7;9.9;0.475;0.497;1.5;2.1;0.714;0.7;2.9;3.6;4;1;0;2.3;0.5;15.7
296;Keegan Murray;SF;22;SAC;9;7;32.2;4.9;10.8;0.454;2.4;6.4;0.379;2.4;4.3;0.564;0.567;0.8;1;0.778;0.9;3.1;4;1.4;0.9;0.9;1.8;2.3;13
297;Mike Muscala;C;31;OKC;10;1;14;2.5;5.9;0.424;1.1;3.7;0.297;1.4;2.2;0.636;0.517;1.1;1.4;0.786;0.7;3.7;4.4;0.6;0;0.5;0.5;1.8;7.2
298;Svi Mykhailiuk;SF;25;NYK;3;0;2;1;1;1;1;1;1;0;0;0;1.5;0;0.3;0;0;0.7;0.7;0;0;0;0.3;0;3
299;Larry Nance Jr.;PF;30;NOP;10;0;22.8;4.2;6.3;0.667;0.2;0.5;0.4;4;5.8;0.69;0.683;0.4;0.7;0.571;1.4;3.9;5.3;2.6;1;0.6;1;2.2;9
300;Andrew Nembhard;SG;23;IND;10;2;20;2.4;5.9;0.407;1.2;3.2;0.375;1.2;2.7;0.444;0.508;0.5;0.5;1;0.4;1.9;2.3;3.5;0.8;0.1;1.1;2.1;6.5
301;Aaron Nesmith;SF;23;IND;7;4;22;2.7;6.9;0.396;1;3.6;0.28;1.7;3.3;0.522;0.469;1;1.3;0.778;0.4;3;3.4;1.7;0.3;0.9;1.1;2.7;7.4
302;Raul Neto;PG;30;CLE;7;0;12.3;1.4;3.4;0.417;0.4;1.3;0.333;1;2.1;0.467;0.479;0.9;0.9;1;0.3;1.4;1.7;1.9;0.6;0;0.6;0.9;4.1
303;Georges Niang;PF;29;PHI;11;0;17.8;3.2;6.4;0.5;2.5;4.9;0.5;0.7;1.5;0.5;0.693;0.2;0.2;1;0.2;1.9;2.1;0.5;0.3;0.2;0.8;1.8;9
304;Daishen Nix;PG;20;HOU;10;0;14.1;1.3;3.4;0.382;1;2.2;0.455;0.3;1.2;0.25;0.529;0.3;0.4;0.75;0.3;0.8;1.1;2.1;0.8;0.1;1.4;0.9;3.9
305;Zeke Nnaji;PF;22;DEN;6;0;4.2;0.8;1.7;0.5;0;0.3;0;0.8;1.3;0.625;0.5;0.3;0.3;1;0.5;0.3;0.8;0;0.2;0;0.2;1.3;2
306;Nerlens Noel;C;28;DET;4;0;13.5;1;3;0.333;0;0;0;1;3;0.333;0.333;0.8;1;0.75;0.5;3.3;3.8;0.8;0.8;0.3;0.8;1.3;2.8
307;Jaylen Nowell;SG;23;MIN;12;0;19;4.7;10.9;0.427;1.3;4.1;0.327;3.3;6.8;0.488;0.489;1.1;1.4;0.765;0.7;2.5;3.2;2.4;0.5;0.2;1;1.5;11.8
308;Kendrick Nunn;PG;27;LAL;10;2;13.8;2.1;6.4;0.328;0.8;3.2;0.25;1.3;3.2;0.406;0.391;0.2;0.3;0.667;0.1;1.4;1.5;1.2;0.2;0.1;1.5;0.8;5.2
309;Jusuf Nurki?;C;28;POR;10;10;29.5;4.8;9.7;0.495;0.6;1.1;0.545;4.2;8.6;0.488;0.526;2.8;3.2;0.875;3.1;8.1;11.2;2.5;0.9;0.8;2.5;3.1;13
310;Jordan Nwora;SF;24;MIL;11;0;16.8;1.8;5.9;0.308;0.9;3;0.303;0.9;2.9;0.313;0.385;1.1;1.1;1;0.7;3.1;3.8;0.5;0.4;0.1;0.9;1.1;5.6
311;Royce O'Neale;SF;29;BRK;12;12;36.4;3.8;9.6;0.391;2.5;5.9;0.423;1.3;3.7;0.341;0.522;0.5;0.7;0.75;1.3;3.4;4.7;4.2;1.3;0.8;1.1;3.4;10.5
312;Chuma Okeke;PF;24;ORL;12;1;19.2;1.7;4;0.417;1;2.8;0.353;0.7;1.2;0.571;0.542;1;1.3;0.75;1.3;3.2;4.4;1.6;0.3;0.4;0.7;1.8;5.3
313;Josh Okogie;SG;24;PHO;10;0;4.9;0.4;1.2;0.333;0;0.6;0;0.4;0.6;0.667;0.333;0.4;0.6;0.667;0.3;0.9;1.2;0;0.3;0.1;0.4;0.6;1.2
314;Onyeka Okongwu;C;22;ATL;11;0;19.8;3.6;5.5;0.656;0;0.1;0;3.6;5.5;0.667;0.656;0.9;1.4;0.667;1.9;3.3;5.2;1.1;0.6;0.7;0.6;3;8.2
315;Isaac Okoro;SG;22;CLE;11;3;14.4;0.7;2.5;0.296;0;1;0;0.7;1.5;0.5;0.296;0.5;0.6;0.857;0.1;1.3;1.4;0.4;0.4;0.1;0.8;1.7;2
316;KZ Okpala;PF;23;SAC;6;3;6.5;0.2;0.8;0.2;0.2;0.7;0.25;0;0.2;0;0.3;0;0;0;0.3;0.7;1;0.3;0;0;0;0.7;0.5
317;Kelly Olynyk;PF;31;UTA;13;13;26.5;4.4;7.7;0.57;1.6;2.8;0.568;2.8;4.8;0.571;0.675;1.9;2.6;0.735;1.3;2.8;4.2;3.2;1.4;0.5;2.6;4.3;12.3
318;Eugene Omoruyi;SF;25;OKC;5;0;8.4;1.4;3.2;0.438;0.2;1;0.2;1.2;2.2;0.545;0.469;1.2;1.8;0.667;1;0.8;1.8;0.2;0;0;0.4;2.4;4.2
319;Cedi Osman;SF;27;CLE;11;0;20.9;3.3;7;0.468;1.5;3.9;0.395;1.7;3.1;0.559;0.578;1.2;1.5;0.813;0.3;2.1;2.4;1.9;0.1;0.1;0.9;2.1;9.3
320;Kelly Oubre Jr.;SF;27;CHO;12;12;29.7;6.3;15.8;0.4;2.4;7.6;0.319;3.9;8.3;0.475;0.476;2.4;3.5;0.69;1;3.3;4.3;1.3;1.3;0.3;1.1;3.1;17.5
321;Chris Paul;PG;37;PHO;10;10;30.2;2.8;7.6;0.368;0.9;3.3;0.273;1.9;4.3;0.442;0.428;3;3.4;0.882;0.5;4;4.5;9.4;1.7;0.2;1.5;2.3;9.5
322;Cameron Payne;PG;28;PHO;9;1;19.4;4.2;9.8;0.432;1.6;4;0.389;2.7;5.8;0.462;0.511;1;1.2;0.818;0.3;2.1;2.4;3.7;1;0.1;1.8;1.3;11
